Distance pointes,	WaistX,	WaistY,	Amplitude,	1/sqrt(Amplitude)
4.9,	2.33,	2.57,	0.48,	1.443375672974
20.1,	3.12,	2.7,	0.46,	1.474419561549
34.6,	2.8,	2.01,	0.36,	1.666666666667
49.0,	3.203,	2.56,	0.34,	1.714985851425
62.0,	3.58,	3.4,	0.35,	1.690308509457
75.0,	3.2,	3.27,	0.4,	1.581138830084
87.9,	3.3,	3.31,	0.41,	1.561737618886
101.1,	3.16,	3.79,	0.35,	1.690308509457
113.8,	3.4,	3.47,	0.32,	1.767766952966
126.3,	3.63,	2.98,	0.27,	1.924500897299
139.4,	3.6,	4.27,	0.27,	1.924500897299
149.6,	,	,	,
173.3,	   ,	3.828,	0.26,	1.961161351382
198.1,	4.4,	4.19,	0.24,	2.041241452319
220.9,	4.56,	3.78,	0.22,	2.132007163556
